frame,component,token_type,before%,after%,delta
TienIch,Unknown,Mixed,0,0,0.0
HoaDonDT,Unknown,Mixed,0,0,0.0
DemoManagement,Unknown,Mixed,0,0,0.0
ThongTin,Unknown,Mixed,0,0,0.0
FigmaNodeComponent,Unknown,Mixed,0,0,0.0
TraCuu,Unknown,Mixed,0,0,0.0
Dashboard,Unknown,Mixed,0,0,0.0
Login,Unknown,Mixed,0,0,0.0
VanTay,Unknown,Mixed,0,0,0.0
HoTroQTThue,Unknown,Mixed,0,0,0.0
PDFManagement,Unknown,Mixed,0,0,0.0
TraCuuTNPT,Unknown,Mixed,0,0,0.0
DangKy,Unknown,Mixed,0,0,0.0
HoSo,Unknown,Mixed,0,0,0.0
HoTro,Unknown,Mixed,0,0,0.0
NghiaVu,Unknown,Mixed,0,0,0.0
VisualEditor,Unknown,Mixed,0,0,0.0
TestPage,Unknown,Mixed,0,0,0.0
ThayDoiTTDKThue,Unknown,Mixed,0,0,0.0
TraCuuChungTu,Unknown,Mixed,0,0,0.0
DoiMatKhau,Unknown,Mixed,0,0,0.0
HSDKyThue,Unknown,Mixed,0,0,0.0
PageThongBao,Unknown,Mixed,0,0,0.0
ChiTietThongBao,Unknown,Mixed,0,0,0.0
HoTroQTT,Unknown,Mixed,0,0,0.0
ThongTinChiTiet,Unknown,Mixed,0,0,0.0
ThongTinNVT,Unknown,Mixed,0,0,0.0
AdminDashboard,Unknown,Mixed,0,0,0.0
KhaiThue,Unknown,Mixed,0,0,0.0
PWATest,Unknown,Mixed,0,0,0.0
NotificationBadge,Unknown,Mixed,0,0,0.0
AdminLogin,Unknown,Mixed,0,0,0.0
LoginTest,Unknown,Mixed,0,0,0.0
iPhone13141Component,Unknown,Mixed,0,0,0.0
NopThue,Unknown,Mixed,0,0,0.0
SimpleAdmin,Unknown,Mixed,0,0,0.0
QuickLookViewer,Unknown,Mixed,0,0,0.0
image1Component,Unknown,Mixed,0,0,0.0
z7004767169279ca4f93137f382bfd1405e66971dae38aComponent,Unknown,Mixed,0,0,0.0
z7004767172650313e3f7991ff6fb7e474caccdb9ac242Component,Unknown,Mixed,0,0,0.0
z7004767175085a94a9346139066078451ec5a1f104384Component,Unknown,Mixed,0,0,0.0
z70047671886761dfee3ca3e4626f9028515382cce2404Component,Unknown,Mixed,0,0,0.0
z70047671942743138d4323a97e642b8fd91b6dbdee27dComponent,Unknown,Mixed,0,0,0.0
z70047671987646c354cc08f58a17fc6734824459c4f9dComponent,Unknown,Mixed,0,0,0.0
z7004767199751c7e93a9d5b0d096b82b7fddb73b94589Component,Unknown,Mixed,0,0,0.0
z70047672086120b747fd5973656781f727d22561db016Component,Unknown,Mixed,0,0,0.0
z70047672167887989856f802ff1cf0c396b235891c29fComponent,Unknown,Mixed,0,0,0.0
z7004767217519326cf2665c8838b8157bb9b235d363a7Component,Unknown,Mixed,0,0,0.0
z7004767225562c520a12b53509f6e78cdd4bf6ed5a318Component,Unknown,Mixed,0,0,0.0
z7004767554709e7b158b4e8155170e9bd13ce343eb2bcComponent,Unknown,Mixed,0,0,0.0
ThietLap,Unknown,Mixed,0,0,0.0
ThongBao,Unknown,Mixed,0,0,0.0
TaxList,Unknown,Mixed,0,0,0.0
App,Unknown,Mixed,0,0,0.0
SimplePWATest,Unknown,Mixed,0,0,0.0
